,dataset-6,dataset-11,dataset-1457
error,"2.953e-05,std 2.03e-06","3.104e-05,std 7.00e-06","4.782e-05,std 7.13e-06"
r2,"1.00,std 0.00","1.00,std 0.00","1.00,std 0.00"
